shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                                          ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:32 ,      999 ,        750 ,в248923 ,"Вино ""Bendito"" Carmenere, Valley Central DO, 2023 "                                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:33 ,      769 ,        769 ,в209689 ,"Вино Luis Felipe Edwards, ""Bendito"" Carmenere, Central Valley DO, 2022 "                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:34 ,     1199 ,        959 ,в240893 ,"Вино Bodegas Bastida, ""Evoca"", Jumilla DO, 2022 "                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:34 ,      999 ,        849 ,в248918 ,"Вино ""Bendito"" Pinot Grigio, Valley Central DO, 2024 "                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:35 ,      999 ,        750 ,в248920 ,"Вино ""Bendito"" Sauvignon Blanc, Valley Central DO, 2024 "                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:36 ,      999 ,        799 ,в248919 ,"Вино ""Bendito"" Chardonnay, Valley Central DO, 2024 "                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:34 ,     1799 ,       1299 ,в232837 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2022 "                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:36 ,     1299 ,       1299 ,в192641 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2019 "                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:37 ,     1299 ,       1299 ,в211745 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2021 "                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:38 ,     1999 ,       1699 ,в221489 ,"Вино Castello di Corbara, ""Thybris"" Sangiovese, Lago di Corbara DOC, 2020 "                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:37 ,     1599 ,       1280 ,в243533 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2021 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:38 ,     1499 ,       1499 ,в223543 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2020 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:39 ,     1299 ,       1299 ,в211736 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2019 "                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:40 ,      999 ,        799 ,в248927 ,"Вино ""Bendito"" Cabernet Sauvignon, Valley Central DO, 2023 "                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:36 ,     1499 ,       1290 ,в240890 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2023 "                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:38 ,      999 ,        999 ,в164324 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2020 "                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:39 ,      999 ,        999 ,в198255 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2021 "                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:41 ,     1299 ,       1299 ,в211744 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2022 "                                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:41 ,     1099 ,        989 ,в182854 ,"Вино ""Gabia"" Vinho Verde DOC "                                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:41 ,      999 ,        799 ,в248926 ,"Вино ""Bendito"" Merlot, Valley Central DO, 2023 "                                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:42 ,      769 ,        769 ,в209690 ,"Вино Luis Felipe Edwards, ""Bendito"" Merlot, Central Valley DO, 2022 "                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:41 ,     1599 ,       1390 ,в220424 ,"Вино Lavau, ""EnvyFol"" Syrah, Pays d'Oc IGP, 2022 "                                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:42 ,     1199 ,       1199 ,в192649 ,"Вино Lavau, ""EnvyFol"" Syrah, Pays d'Oc IGP, 2021 "                                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:43 ,     1199 ,        959 ,в235547 ,"Вино ""Cibolo"" Sauvignon Blanc, 2023 "                                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,     1099 ,       1099 ,в217043 ,"Вино ""Cibolo"" Sauvignon Blanc, 2022 "                                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:43 ,      999 ,        799 ,в248921 ,"Вино ""Bendito"" Moscato, 2024 "                                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,      759 ,        759 ,в209688 ,"Вино Luis Felipe Edwards, ""Bendito"" Moscato, Central Valley DO, 2022 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,     2299 ,       1949 ,в247779 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2019 "                                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,     1990 ,       1990 ,в206495 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2018 "                                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,     1780 ,       1780 ,в134381 ,"Вино Chateau Hyot, Castillon Cotes de Bordeaux AOP, 2016 "                                                   ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,     1399 ,       1099 ,в235534 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2023 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,      970 ,        970 ,в123333 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2018 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,      999 ,        999 ,в201713 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2021 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,      999 ,        999 ,в164196 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2020 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1099 ,       1099 ,в211739 ,"Вино Cantina Diomede, ""Folia"" Bombino Bianco, Puglia IGP, 2022 "                                           ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:44 ,     1399 ,       1399 ,в235546 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2020 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,      899 ,        899 ,в150478 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2017 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,      999 ,        999 ,в171421 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2018 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,      859 ,        859 ,в106872 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2015 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1199 ,       1199 ,в198166 ,"Вино Familia Bastida, ""Drama"" Red Blend, La Mancha DO, 2019 "                                              ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:46 ,     2799 ,       2490 ,в243524 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2019 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:47 ,     1750 ,       1750 ,в122045 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2014 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:48 ,     1999 ,       1999 ,в150479 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2015 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:49 ,     1999 ,       1999 ,в179831 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2016 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:50 ,     2499 ,       2499 ,в223537 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2018 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:51 ,     1999 ,       1999 ,в198159 ,"Вино Ramirez de la Piscina, Reserva, Rioja DOCa, 2017 "                                                      ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 03:07:50 ,     1599 ,       1599 ,в240892 ,"Вино Lavau, ""EnvyFol"" Chardonnay, Pays d'Oc IGP, 2023 "                                                    ,
