shop,datetime,price_reg,price_promo,article,name,category_path
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,1199,959,в240893,"Вино Bodegas Bastida, ""Evoca"", Jumilla DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:46,999,750,в248923,"Вино ""Bendito"" Carmenere, Valley Central DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,769,769,в209689,"Вино Luis Felipe Edwards, ""Bendito"" Carmenere, Central Valley DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,999,849,в248918,"Вино ""Bendito"" Pinot Grigio, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:48,999,750,в248920,"Вино ""Bendito"" Sauvignon Blanc, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,999,799,в248919,"Вино ""Bendito"" Chardonnay, Valley Central DO, 2024 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:47,1799,1299,в232837,"Вино ""40"" Nero di Troia, Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:48,1299,1299,в192641,"Вино ""40"" Nero di Troia, Puglia IGT, 2019 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,1299,1299,в211745,"Вино ""40"" Nero di Troia, Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,1999,1699,в221489,"Вино Castello di Corbara, ""Thybris"" Sangiovese, Lago di Corbara DOC, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,999,799,в248926,"Вино ""Bendito"" Merlot, Valley Central DO, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,769,769,в209690,"Вино Luis Felipe Edwards, ""Bendito"" Merlot, Central Valley DO, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:49,1499,1290,в240890,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2023 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,999,999,в164324,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,999,999,в198255,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:52,1299,1299,в211744,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2022 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:50,1599,1280,в243533,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2021 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:51,1499,1499,в223543,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2020 ",Вино
"г. Москва, ул. Бакунинская, д. 26-30",2025-02-04 23:53:52,1299,1299,в211736,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2019 ",Вино
