shop                                           ,datetime            ,price_reg ,price_promo ,article ,name                                                                                       ,category_path
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:35 ,      999 ,        750 ,в248923 ,"Вино ""Bendito"" Carmenere, Valley Central DO, 2023 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:36 ,     1199 ,        959 ,в240893 ,"Вино Bodegas Bastida, ""Evoca"", Jumilla DO, 2022 "                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:36 ,     7390 ,       5550 ,в249170 ,Набор Set of Sparkling Wines                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:36 ,     6390 ,       4449 ,в208013 ,"Коньяк ""Francois de Martignac"" VS, gift box,  0.7 л"                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:36 ,     5990 ,       5370 ,в2277   ,"Коньяк ""Hennessy"" V.S, gift box,  0.7 л"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:38 ,     2590 ,       1950 ,в242315 ,Набор Set of Red Wines For Steaks                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:38 ,      999 ,        849 ,в248918 ,"Вино ""Bendito"" Pinot Grigio, Valley Central DO, 2024 "                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:39 ,     6990 ,       4890 ,в242973 ,Набор Set of Orange Wines                                                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:39 ,     1799 ,       1299 ,в232837 ,"Вино ""40"" Nero di Troia, Puglia IGT, 2022 "                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:39 ,     4699 ,       3790 ,в244900 ,Набор Set of Strong White Wines                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:40 ,      999 ,        750 ,в248920 ,"Вино ""Bendito"" Sauvignon Blanc, Valley Central DO, 2024 "                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:40 ,     5490 ,       4399 ,в246439 ,Набор Set of Sauvignon Blanc Wines                                                         ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:42 ,     1499 ,       1290 ,в240890 ,"Вино Cantine Risveglio, ""Sciaia"", Puglia IGT, 2023 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:42 ,     3299 ,       2490 ,в247632 ,Набор Set of Italian New Wines                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:42 ,     4099 ,       3290 ,в248916 ,Набор Set of Hot Spanish Wines                                                             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:42 ,      999 ,        799 ,в248919 ,"Вино ""Bendito"" Chardonnay, Valley Central DO, 2024 "                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:43 ,     1599 ,       1280 ,в243533 ,"Вино ""Flor de Sara"" Crianza, Rioja DOC, 2021 "                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:44 ,      999 ,        799 ,в248926 ,"Вино ""Bendito"" Merlot, Valley Central DO, 2023 "                                        ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:44 ,     5999 ,       4799 ,в251064 ,Набор Set of Friut Riesling                                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:44 ,     1999 ,       1699 ,в221489 ,"Вино Castello di Corbara, ""Thybris"" Sangiovese, Lago di Corbara DOC, 2020 "             ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:45 ,     2409 ,       1849 ,в2936   ,"Водка ""Белуга"" Нобл,  0.7 л"                                                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:46 ,     5390 ,       2990 ,в4134   ,"Абсент Xenta,  0.7 л"                                                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:46 ,      999 ,        799 ,в248927 ,"Вино ""Bendito"" Cabernet Sauvignon, Valley Central DO, 2023 "                            ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:17:47 ,     4249 ,       3690 ,в32833  ,"Ром ""Legendario"" Elixir de Cuba,  0.7 л"                                                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:25:58 ,      999 ,        750 ,в248923 ,"Вино ""Bendito"" Carmenere, Valley Central DO, 2023 "                                     ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:25:59 ,      769 ,        769 ,в209689 ,"Вино Luis Felipe Edwards, ""Bendito"" Carmenere, Central Valley DO, 2022 "                ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:25:59 ,     6390 ,       4449 ,в208013 ,"Коньяк ""Francois de Martignac"" VS, gift box,  0.7 л"                                    ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:00 ,     1199 ,        959 ,в240893 ,"Вино Bodegas Bastida, ""Evoca"", Jumilla DO, 2022 "                                       ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:00 ,     7390 ,       5550 ,в249170 ,Набор Set of Sparkling Wines                                                               ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:00 ,     2590 ,       1950 ,в242315 ,Набор Set of Red Wines For Steaks                                                          ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:01 ,      999 ,        849 ,в248918 ,"Вино ""Bendito"" Pinot Grigio, Valley Central DO, 2024 "                                  ,
"г. Москва, Ленинский проспект, д. 49, стр. 5" ,2025-02-04 02:26:01 ,     6990 ,       4890 ,в242973 ,Набор Set of Orange Wines                                                                  ,
